word,pre_ai_mean,post_ai_mean,diff,abs_diff
000,0.012319318681285664,0.01174675286154247,-0.000572565819743194,0.000572565819743194
000 companies,0.0,0.0028782418620254342,0.0028782418620254342,0.0028782418620254342
000 flights,0.0,0.0027101273813154984,0.0027101273813154984,0.0027101273813154984
000 people,0.0020787967823933063,0.0008954347628559133,-0.001183362019537393,0.001183362019537393
10,0.010921286710143288,0.0082814202898811,-0.002639866420262189,0.002639866420262189
10 000,0.0023109739498022876,0.000732549995014076,-0.0015784239547882116,0.0015784239547882116
10 june,0.0015414664275515528,0.0006450128445598312,-0.0008964535829917216,0.0008964535829917216
10 years,0.0017980634362924405,0.0010478566409034464,-0.000750206795388994,0.000750206795388994
100,0.00466392805098786,0.0055960424630014435,0.0009321144120135834,0.0009321144120135834
100 000,0.0026670010424886914,0.0007521854869137415,-0.00191481555557495,0.00191481555557495
100bn,0.0013032451360158643,0.0012691214662795217,-3.412366973634261e-05,3.412366973634261e-05
100m,0.00108261361882851,0.0015473914247175142,0.00046477780588900417,0.00046477780588900417
10bn,0.0012926322394110688,0.001088955267978072,-0.00020367697143299683,0.00020367697143299683
10th,0.001486519418691325,0.0005135749959789044,-0.0009729444227124206,0.0009729444227124206
11,0.0018551656303979628,0.006884767965707296,0.0050296023353093335,0.0050296023353093335
12,0.005661720447877002,0.004750216372012098,-0.0009115040758649042,0.0009115040758649042
120,0.0005812540723928538,0.0011212114677398414,0.0005399573953469877,0.0005399573953469877
13,0.002531744567980808,0.0038785784106600617,0.0013468338426792536,0.0013468338426792536
14,0.003986442219694835,0.004402982719756984,0.0004165405000621488,0.0004165405000621488
15,0.004066993086076001,0.004964780778727711,0.00089778769265171,0.00089778769265171
15 minutes,0.001015772793104099,0.0017139664086437078,0.0006981936155396088,0.0006981936155396088
15 years,0.0005051630529051154,0.00105963546771773,0.0005544724148126146,0.0005544724148126146
150,0.0009281183192200595,0.0014599523700138924,0.0005318340507938329,0.0005318340507938329
16,0.002865063971491345,0.001922100458073765,-0.0009429635134175799,0.0009429635134175799
17,0.002179091946485228,0.0032677817683611533,0.0010886898218759253,0.0010886898218759253
18,0.0036529638965907985,0.0020124950098300088,-0.0016404688867607898,0.0016404688867607898
19,0.007102987257381543,0.003699897917297338,-0.003403089340084205,0.003403089340084205
19 pandemic,0.0012300535388152282,0.0008860877062162904,-0.0003439658325989377,0.0003439658325989377
1969,0.0007300690510433492,0.0009528757002910961,0.0002228066492477469,0.0002228066492477469
1982,0.000506936302727397,0.0009879908663166625,0.0004810545635892655,0.0004810545635892655
1990s,0.001020234534139221,0.0010486634404117251,2.8428906272504138e-05,2.8428906272504138e-05
1991,0.00183901723931253,0.00034436002286519155,-0.0014946572164473383,0.0014946572164473383
1995,0.00045003294204049656,0.001404094778839004,0.0009540618367985074,0.0009540618367985074
1999,0.0007232646196198302,0.0011432375107840365,0.00041997289116420624,0.00041997289116420624
1bn,0.002060206011157173,0.002688025486683006,0.0006278194755258331,0.0006278194755258331
1m,0.0017991010518302554,0.004302256309858958,0.0025031552580287025,0.0025031552580287025
20,0.006517587339829926,0.0066954904958876,0.00017790315605767382,0.00017790315605767382
20 years,0.00295036076080269,0.00041058328744079925,-0.0025397774733618905,0.0025397774733618905
200,0.002502356750094141,0.0025358838916162657,3.3527141522124524e-05,3.3527141522124524e-05
2000,0.0006716557576893489,0.0009074266775420781,0.0002357709198527292,0.0002357709198527292
2001,0.0011634984835966564,0.0004272383504488291,-0.0007362601331478273,0.0007362601331478273
2006,0.0005205510875232935,0.0008138793767375542,0.00029332828921426076,0.00029332828921426076
2009,0.0008120748694558401,0.0006015001006212696,-0.0002105747688345705,0.0002105747688345705
2010,0.003119902312037608,0.00010827530443442196,-0.003011627007603186,0.003011627007603186
2011,0.0010526276284278913,0.0015449405046638386,0.0004923128762359473,0.0004923128762359473
2012,0.0018629384958755504,0.0015427441621365414,-0.0003201943337390091,0.0003201943337390091
2013,0.001313132554483334,0.0017970868593615106,0.0004839543048781765,0.0004839543048781765
2014,0.0035980878473475916,0.0016194904922939143,-0.0019785973550536773,0.0019785973550536773
2015,0.0021800067511972034,0.0015227292739721002,-0.0006572774772251031,0.0006572774772251031
2016,0.004341211495453544,0.0028187958649122232,-0.0015224156305413206,0.0015224156305413206
2017,0.00455674915954952,0.001074039452173981,-0.003482709707375539,0.003482709707375539
2018,0.004343028239504451,0.0019069444181082655,-0.002436083821396185,0.002436083821396185
2019,0.006657642896002801,0.002766772331304872,-0.003890870564697929,0.003890870564697929
2020,0.009506770793400478,0.0030279820356100898,-0.006478788757790389,0.006478788757790389
2021,0.004596013512256983,0.003442424723444763,-0.0011535887888122196,0.0011535887888122196
2022,0.0014932961977988685,0.006840319579953342,0.005347023382154474,0.005347023382154474
2023,0.0005762538744613307,0.007508241328687886,0.0069319874542265545,0.0069319874542265545
2024,0.0020659015819654743,0.008002746405980653,0.005936844824015179,0.005936844824015179
2025,0.0005193908802325276,0.00455161154961179,0.0040322206693792625,0.0040322206693792625
2026,0.0009240952839218309,0.0007154602044151711,-0.0002086350795066598,0.0002086350795066598
2030,0.0040186110780383345,0.0007642974648144891,-0.0032543136132238454,0.0032543136132238454
20s,0.0,0.0010854731954428498,0.0010854731954428498,0.0010854731954428498
21,0.0018611203282185528,0.0021459760652353115,0.0002848557370167587,0.0002848557370167587
21st,0.0031993190280230357,0.0005540526354928405,-0.0026452663925301953,0.0026452663925301953
21st century,0.0031993190280230357,0.0005540526354928405,-0.0026452663925301953,0.0026452663925301953
22,0.0026906082900760614,0.005315398758787673,0.0026247904687116117,0.0026247904687116117
23,0.0028973915748096942,0.0034981147944003884,0.0006007232195906942,0.0006007232195906942
24,0.002884902139254492,0.004216943473259795,0.001332041334005303,0.001332041334005303
24 hours,0.0015461466472636112,0.00047950344311538585,-0.0010666432041482254,0.0010666432041482254
24 year,0.0,0.002770758403361842,0.002770758403361842,0.002770758403361842
25,0.0037367408325785483,0.003258894213518097,-0.0004778466190604514,0.0004778466190604514
250,0.0012525266828855896,0.0010974329336717469,-0.00015509374921384269,0.00015509374921384269
26,0.0017401362004363223,0.0027653222416920684,0.0010251860412557462,0.0010251860412557462
27,0.0018448582393702753,0.0013073355813947823,-0.000537522657975493,0.000537522657975493
28,0.0024736462037042253,0.0018554633264666785,-0.0006181828772375468,0.0006181828772375468
29,0.001744366207098928,0.00270945666307991,0.0009650904559809818,0.0009650904559809818
2bn,0.0,0.004080220122964681,0.004080220122964681,0.004080220122964681
30,0.005704242499086724,0.006456051118748061,0.0007518086196613366,0.0007518086196613366
30 000,0.0007421324197896598,0.0008388815867893995,9.67491669997397e-05,9.67491669997397e-05
30 years,0.000378592447535001,0.0014566869782945866,0.0010780945307595855,0.0010780945307595855
300,0.0017566404246720348,0.0021841465666698704,0.0004275061419978356,0.0004275061419978356
30am,0.00030643192557803297,0.0020002631869644686,0.0016938312613864357,0.0016938312613864357
