pub_date,title,section,web_url,trail_text,body_text,source,event,era,origin_file,text_for_analysis,text_length,has_full_text,likely_relevant,vader_compound,vader_pos,vader_neg,vader_neu,tb_polarity,tb_subjectivity
,"A Failure Here, Damaged Fiber There and a Day of Internet Glitches",Business Day,https://www.nytimes.com/2019/07/02/business/cloudflare-google-internet-problems.html,Cloudflare and Google dealt with issues that affected countless sites and users on Tuesday.,"Cloudflare and Google dealt with issues that affected countless sites and users on Tuesday. When a website won’t load, many internet users turn to DownDetector, a site that keeps track of online disruptions, providing frequent updates on the status of the world’s digital infrastructure.",nyt,cloudflare_2019,pre_ai,nyt_cloudflare_2019,"Cloudflare and Google dealt with issues that affected countless sites and users on Tuesday. When a website won’t load, many internet users turn to DownDetector, a site that keeps track of online disruptions, providing frequent updates on the status of the world’s digital infrastructure.",287,True,True,-0.7351,0.0,0.383,0.617,-0.31666666666666665,0.3
,The Week in Business: Facebook Under Pressure and Ozy Media Shuts Down,Business Day,https://www.nytimes.com/2021/10/03/business/the-week-in-business-facebook-ozy-media.html,"Facebook  postponed the start of its “Instagram Kids” product and a  Ozy Media shut down, just five days after a report raised questions about its business strategy. ","Facebook  postponed the start of its “Instagram Kids” product and a  Ozy Media shut down, just five days after a report raised questions about its business strategy.  [Watch the Facebook hearing live.]",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"Facebook  postponed the start of its “Instagram Kids” product and a  Ozy Media shut down, just five days after a report raised questions about its business strategy.  [Watch the Facebook hearing live.]",201,True,True,-0.296,0.0,0.167,0.833,-0.15555555555555556,0.2888888888888889
,Whistle-Blower Says Facebook ‘Chooses Profits Over Safety’,Technology,https://www.nytimes.com/2021/10/03/technology/whistle-blower-facebook-frances-haugen.html,"Frances Haugen, a Facebook product manager who left the company in May, revealed that she had provided internal documents to journalists and others.","Frances Haugen, a Facebook product manager who left the company in May, revealed that she had provided internal documents to journalists and others. To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"Frances Haugen, a Facebook product manager who left the company in May, revealed that she had provided internal documents to journalists and others. To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",255,True,True,0.4404,0.326,0.0,0.674,0.0,0.0
,Facebook Is Weaker Than We Knew,Technology,https://www.nytimes.com/2021/10/04/technology/facebook-files.html,"A trove of leaked documents, published by The Wall Street Journal, hints at a company whose best days are behind it.","A trove of leaked documents, published by The Wall Street Journal, hints at a company whose best days are behind it. To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"A trove of leaked documents, published by The Wall Street Journal, hints at a company whose best days are behind it. To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",223,True,True,-0.4404,0.0,0.367,0.633,0.0,0.0
,"Gone in Minutes, Out for Hours: Outage Shakes Facebook",Technology,https://www.nytimes.com/2021/10/04/technology/facebook-down.html,"When apps used by billions of people worldwide blinked out, lives were disrupted, businesses were cut off from customers — and some Facebook employees were locked out of their offices.","When apps used by billions of people worldwide blinked out, lives were disrupted, businesses were cut off from customers — and some Facebook employees were locked out of their offices. [Watch the Facebook hearing live.]",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"When apps used by billions of people worldwide blinked out, lives were disrupted, businesses were cut off from customers — and some Facebook employees were locked out of their offices. [Watch the Facebook hearing live.]",219,True,True,0.0,0.0,0.0,1.0,0.0,0.0
,Users turn to Twitter after Facebook outage. Jokes and venting ensue.,Technology,https://www.nytimes.com/2021/10/04/technology/twitter-facebook-down.html,Twitter appeared to embrace its moment in the spotlight.,Twitter appeared to embrace its moment in the spotlight. [Watch the Facebook hearing live.],nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,Twitter appeared to embrace its moment in the spotlight. [Watch the Facebook hearing live.],91,False,True,0.25,0.167,0.0,0.833,0.0,0.0
,Your Tuesday Briefing,Briefing,https://www.nytimes.com/2021/10/05/briefing/facebook-outage-new-zealand-covid.html,A lengthy outage shakes Facebook and its apps.,"A lengthy outage shakes Facebook and its apps. Facebook and its family of apps, including Messenger, Instagram and WhatsApp, were inaccessible for over five hours yesterday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"A lengthy outage shakes Facebook and its apps. Facebook and its family of apps, including Messenger, Instagram and WhatsApp, were inaccessible for over five hours yesterday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny.",333,True,True,0.0,0.0,0.0,1.0,0.0,0.0
,Stephen Colbert Kicks Facebook While It’s Down,Arts,https://www.nytimes.com/2021/10/05/arts/television/stephen-colbert-kicks-facebook-while-its-down.html,"“As the panic grew, Facebook did not say what might be causing the outage. Now, I’m no computer expert, but my theory is a just god?” Colbert joked.","“As the panic grew, Facebook did not say what might be causing the outage. Now, I’m no computer expert, but my theory is a just god?” Colbert joked. Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"“As the panic grew, Facebook did not say what might be causing the outage. Now, I’m no computer expert, but my theory is a just god?” Colbert joked. Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",334,True,True,0.0,0.0,0.0,1.0,-0.15555555555555556,0.2888888888888889
,Facebook’s Apps Went Down. The World Saw How Much It Runs on Them.,Technology,https://www.nytimes.com/2021/10/05/technology/facebook-down-ig-down-whatsapp-down.html,"The outage disrupted the digital lives of small-business owners, politicians, aid workers and others. But for some, it was a welcome reprieve.","The outage disrupted the digital lives of small-business owners, politicians, aid workers and others. But for some, it was a welcome reprieve. For more than five hours on Monday, the world got a taste of life without Facebook and its apps.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"The outage disrupted the digital lives of small-business owners, politicians, aid workers and others. But for some, it was a welcome reprieve. For more than five hours on Monday, the world got a taste of life without Facebook and its apps.",239,True,True,0.0,0.0,0.0,1.0,0.022222222222222227,0.24444444444444446
,Going Down,Business Day,https://www.nytimes.com/2021/10/05/business/dealbook/facebook-down.html,Prolonged outages of Facebook apps marked another bad day for the social media giant.,Prolonged outages of Facebook apps marked another bad day for the social media giant. [Watch the Facebook hearing live.],nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,Prolonged outages of Facebook apps marked another bad day for the social media giant. [Watch the Facebook hearing live.],120,False,True,0.0,0.0,0.0,1.0,-0.15555555555555556,0.2888888888888889
