_id,pub_date,headline,web_url,snippet,lead_paragraph,section,byline,type_of_material,source
nyt://article/6f8ea321-2c65-5d48-85d5-97940e50ae15,2025-10-20 08:24:06+00:00,Amazon Outage Forces Hundreds of Websites Offline for Hours,https://www.nytimes.com/2025/10/20/business/aws-down-internet-outage.html,"Amazon Web Services, a major provider of cloud services, cited a problem at its data center in Northern Virginia. The outage highlighted the fragility of global internet infrastructure.",,Business,By Jenny Gross,News,The New York Times
nyt://article/d9e4c8e4-4749-5de7-a618-b85bde515fe2,2025-10-20 09:00:13+00:00,How Chile Embodies A.I.’s No-Win Politics,https://www.nytimes.com/2025/10/20/technology/chile-ai-politics.html,"Political debates have flared across Chile over artificial intelligence. Should the nation pour billions into A.I. and risk public backlash, or risk being left behind?",,Technology,By Paul Mozur and Marcos Zegers,News,The New York Times
nyt://article/de9ab15f-460d-50fc-8b35-00cc8284b8ec,2025-10-20 10:09:11+00:00,What Is Amazon Web Services?,https://www.nytimes.com/2025/10/20/business/amazon-web-services-aws-down-what.html,"The cloud-computing division of the internet giant is used by thousands of internet customers, many of whom reported disruptions on Monday.",,Business,By Melissa Eddy,News,The New York Times
nyt://article/991f4851-4ce3-518e-be4d-7310f9ab23e2,2025-10-20 12:05:17+00:00,The Showdown Behind the Shutdown,https://www.nytimes.com/2025/10/20/business/dealbook/health-care-shutdown.html,"Extending subsidies for the Affordable Care Act has emerged as a major sticking point in Washington, and could carry the biggest economic consequences.",,Business,"By Andrew Ross Sorkin, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Niko Gallogly and Ian Mount",News,The New York Times
nyt://article/a2805bd6-61e3-593f-b8f0-d2f660658313,2025-10-20 22:02:30+00:00,Appeals Court Lifted a Block on Trump’s Deployment to Oregon,https://www.nytimes.com/2025/10/20/briefing/trump-oregon-national-guard-louvre-heist.html,"Also, the search is on for the Louvre jewel thieves. Here’s the latest at the end of Monday.",,Briefing,By Matthew Cullen,News,The New York Times
nyt://article/2bdb592e-a701-56cd-9e8a-01a8ec2cef5b,2025-10-21 11:05:18+00:00,The Louvre Heist,https://www.nytimes.com/2025/10/21/world/louvre-jewelry-heist.html,"Today, we look at how thieves pulled off this weekend’s brazen daylight robbery in Paris and why they did it.",,World,By Katrin Bennhold,briefing,The New York Times
nyt://article/4336528c-9740-5997-8d62-79d67ef08ea8,2025-10-21 12:00:51+00:00,What Could Torpedo the Stock Rally,https://www.nytimes.com/2025/10/21/business/dealbook/stocks-rally-bulls-bears.html,"The S&P 500 is nearing another record, but some analysts caution that a host of factors may stall its momentum.",,Business,"By Andrew Ross Sorkin, Bernhard Warner, Sarah Kessler, Michael J. de la Merced and Niko Gallogly",News,The New York Times
nyt://article/4f0182ce-8b18-55ad-b587-531cdfed77d5,2025-10-23 16:03:37+00:00,"U.S. Health Workers Recalled From Shutdown Furlough for Medicare, A.C.A. Enrollments",https://www.nytimes.com/2025/10/23/health/medicare-obamacre-federal-workers-furlough-shutdown.html,"An estimated 3,000 employees seem to be affected. The federal agency said the return to work would occur Monday, with the costs paid by user fees collected from researchers.",,Health,By Reed Abelson,News,The New York Times
nyt://article/ec6d602d-76df-581f-9f33-6e3e45e014a3,2025-10-24 09:03:16+00:00,Smart Beds Helped Them Sleep on a Cloud. Then the Cloud Crashed.,https://www.nytimes.com/2025/10/24/business/amazon-aws-outage-eight-sleep-mattress.html,The widespread outage involving the cloud-computing provider Amazon Web Services ensnared unexpected consumers earlier this week: people who just wanted a good night’s sleep.,,Business,By Sopan Deb,News,The New York Times
nyt://article/de5bc35c-b798-5b77-a3f2-28e76036041c,2025-10-24 21:44:35+00:00,The U.S. Is Deploying an Aircraft Carrier to Latin America,https://www.nytimes.com/2025/10/24/briefing/us-aircraft-carrier-world-series.html,"Also, the World Series begins. Here’s the latest at the end of Friday.",,Briefing,By Matthew Cullen,News,The New York Times
