pub_datetime_utc,headline,snippet_or_abstract,lead_paragraph,web_url,section,byline
2021-10-03 14:07:49+00:00,The Week in Business: Facebook Under Pressure and Ozy Media Shuts Down,"Facebook  postponed the start of its “Instagram Kids” product and a  Ozy Media shut down, just five days after a report raised questions about its business strategy. ",[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/03/business/the-week-in-business-facebook-ozy-media.html,Business Day,By Sarah Kessler
2021-10-03 23:55:03+00:00,Whistle-Blower Says Facebook ‘Chooses Profits Over Safety’,"Frances Haugen, a Facebook product manager who left the company in May, revealed that she had provided internal documents to journalists and others.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",https://www.nytimes.com/2021/10/03/technology/whistle-blower-facebook-frances-haugen.html,Technology,By Ryan Mac and Cecilia Kang
2021-10-04 09:00:13+00:00,Facebook Is Weaker Than We Knew,"A trove of leaked documents, published by The Wall Street Journal, hints at a company whose best days are behind it.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",https://www.nytimes.com/2021/10/04/technology/facebook-files.html,Technology,By Kevin Roose
2021-10-04 16:15:59+00:00,"Gone in Minutes, Out for Hours: Outage Shakes Facebook","When apps used by billions of people worldwide blinked out, lives were disrupted, businesses were cut off from customers — and some Facebook employees were locked out of their offices.",[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/04/technology/facebook-down.html,Technology,By Mike Isaac and Sheera Frenkel
2021-10-04 22:43:02+00:00,Users turn to Twitter after Facebook outage. Jokes and venting ensue.,Twitter appeared to embrace its moment in the spotlight.,[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/04/technology/twitter-facebook-down.html,Technology,By Jesus Jiménez and Vimal Patel
2021-10-05 04:32:18+00:00,Your Tuesday Briefing,A lengthy outage shakes Facebook and its apps.,"Facebook and its family of apps, including Messenger, Instagram and WhatsApp, were inaccessible for over five hours yesterday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny.",https://www.nytimes.com/2021/10/05/briefing/facebook-outage-new-zealand-covid.html,Briefing,By Natasha Frost
2021-10-05 05:32:20+00:00,Stephen Colbert Kicks Facebook While It’s Down,"“As the panic grew, Facebook did not say what might be causing the outage. Now, I’m no computer expert, but my theory is a just god?” Colbert joked.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",https://www.nytimes.com/2021/10/05/arts/television/stephen-colbert-kicks-facebook-while-its-down.html,Arts,By Trish Bendix
2021-10-05 08:52:10+00:00,Facebook’s Apps Went Down. The World Saw How Much It Runs on Them.,"The outage disrupted the digital lives of small-business owners, politicians, aid workers and others. But for some, it was a welcome reprieve.","For more than five hours on Monday, the world got a taste of life without Facebook and its apps.",https://www.nytimes.com/2021/10/05/technology/facebook-down-ig-down-whatsapp-down.html,Technology,By Raymond Zhong and Adam Satariano
2021-10-05 12:18:41+00:00,Going Down,Prolonged outages of Facebook apps marked another bad day for the social media giant.,[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/05/business/dealbook/facebook-down.html,Business Day,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Lauren Hirsch, Ephrat Livni and Anna Schaverien"
2021-10-05 16:31:41+00:00,Facebook’s outage frustrates advertisers heading into the holiday season.,"“There may be heads on pikes by the end of this,” one agency executive said.","For more than five hours on Monday, while Facebook and Instagram were dark, David Herrmann fretted about ads.",https://www.nytimes.com/2021/10/05/business/media/facebook-outage-advertisers.html,Business Day,By Tiffany Hsu
2021-10-05 19:07:07+00:00,Just What Is Happening With Facebook?,“Stop using Facebook!” one reader urges. Another admits to a possible addiction but finds it useful. Readers offer varied opinions about the company.,To the Editor:,https://www.nytimes.com/2021/10/05/opinion/letters/facebook-outage-whistle-blower.html,Opinion,
2021-10-05 20:32:03+00:00,Facebook says its outage was caused by a cascade of errors.,"For more than five hours, the company’s family of apps, including Instagram and WhatsApp, were unavailable to the billions who use them.","A cascade of mistakes made during maintenance on Facebook’s network caused the outage that took its services offline Monday, the company said in a blog post published on Tuesday.",https://www.nytimes.com/2021/10/05/technology/facebook-outage-cause.html,Technology,By Kate Conger
2021-10-05 22:00:05+00:00,Facebook Was Down for a Few Hours. Should It Go Away Forever?,Leaked internal documents show that the world’s dependency on Facebook and its family of apps comes at a great cost.,This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,https://www.nytimes.com/2021/10/05/opinion/facebook-whatsapp-instagram.html,Opinion,By Spencer Bokat-Lindell
2021-10-06 07:00:02+00:00,Facebook Outage,"How were you and the people you know affected when Facebook, Instagram and WhatsApp were inaccessible for hours this week?","“Facebook and its family of apps, including Instagram and WhatsApp, were inaccessible for hours on Monday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny,” writes The Times. ",https://www.nytimes.com/2021/10/06/learning/facebook-outage.html,The Learning Network,By The Learning Network
2021-10-07 06:07:50+00:00,Seth Meyers Breaks Down Facebook’s Very Bad Week,"“It’s the kind of week you normally post about on Facebook,” Meyers said on Wednesday night.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",https://www.nytimes.com/2021/10/07/arts/television/seth-meyers-facebook-whistleblower.html,Arts,By Trish Bendix
