pub_datetime_utc,headline,snippet_or_abstract,lead_paragraph,web_url,section,byline,likely_outage
2021-10-01 09:00:09+00:00,"Clearly, Facebook Is Very Flawed. What Will We Do About It?",A  damning expose depicts a company with all the information it needs to fix the egregious oversights and mistakes of the past.,"Two weeks ago, The Wall Street Journal published “The Facebook Files,” a damning series based on a cache of leaked internal documents that revealed how much the company knew about the harms it was causing and how little it did to stop it.",https://www.nytimes.com/2021/10/01/opinion/facebook-files-content-moderation-zuckerberg.html,Opinion,By Kate Klonick,False
2021-10-01 13:49:33+00:00,How I Knew I Needed to Quit Instagram,"Just like with alcohol, social media left me feeling anxious and removed from myself.","This summer, I relapsed.",https://www.nytimes.com/2021/10/01/well/mind/instagram-quit.html,Well,By Laura McKowen,False
2021-10-01 22:26:07+00:00,Facebook Struggles to Quell Uproar Over Instagram’s Effect on Teens,The social network has been all hands on deck as it grapples with revelations that it knew the harmful effects its Instagram photo-sharing app was having on teenagers.,"SAN FRANCISCO — Over the past few weeks, top Facebook executives assembled virtually for a series of emergency meetings.",https://www.nytimes.com/2021/10/01/technology/facebook-instagram-teenagers.html,Technology,"By Mike Isaac, Sheera Frenkel and Ryan Mac",False
2021-10-02 23:00:08+00:00,"Whistle-Blower to Accuse Facebook of Contributing to Jan. 6 Riot, Memo Says","In an internal memo meant to pre-empt a “60 Minutes” interview, Facebook defended itself and said that social media was not a primary cause of polarization.",[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/02/technology/whistle-blower-facebook-memo.html,Technology,By Mike Isaac,False
2021-10-03 14:07:49+00:00,The Week in Business: Facebook Under Pressure and Ozy Media Shuts Down,"Facebook  postponed the start of its “Instagram Kids” product and a  Ozy Media shut down, just five days after a report raised questions about its business strategy. ",[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/03/business/the-week-in-business-facebook-ozy-media.html,Business Day,By Sarah Kessler,True
2021-10-03 23:55:03+00:00,Whistle-Blower Says Facebook ‘Chooses Profits Over Safety’,"Frances Haugen, a Facebook product manager who left the company in May, revealed that she had provided internal documents to journalists and others.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",https://www.nytimes.com/2021/10/03/technology/whistle-blower-facebook-frances-haugen.html,Technology,By Ryan Mac and Cecilia Kang,False
2021-10-04 09:00:13+00:00,Facebook Is Weaker Than We Knew,"A trove of leaked documents, published by The Wall Street Journal, hints at a company whose best days are behind it.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",https://www.nytimes.com/2021/10/04/technology/facebook-files.html,Technology,By Kevin Roose,False
2021-10-04 16:15:59+00:00,"Gone in Minutes, Out for Hours: Outage Shakes Facebook","When apps used by billions of people worldwide blinked out, lives were disrupted, businesses were cut off from customers — and some Facebook employees were locked out of their offices.",[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/04/technology/facebook-down.html,Technology,By Mike Isaac and Sheera Frenkel,True
2021-10-04 17:17:14+00:00,Facebook urges court to dismiss latest F.T.C. antitrust suit.,"“This court gave the agency a second chance to make a valid claim,” Facebook said in its filing. “But the same deficiency that was fatal to the F.T.C.’s initial complaint remains.”",[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/04/technology/facebook-ftc-antitrust-suit.html,Technology,By Cecilia Kang,False
2021-10-04 22:17:07+00:00,"Facebook, Nobel Prizes, Captain Kirk: Your Monday Evening Briefing",Here’s what you need to know at the end of the day.,(Want to get this newsletter in your inbox? Here’s the sign-up.) ,https://www.nytimes.com/2021/10/04/briefing/facebook-nobel-prizes-captain-kirk-your-monday-evening-briefing.html,Briefing,By Lauren McCarthy,False
2021-10-04 22:43:02+00:00,Users turn to Twitter after Facebook outage. Jokes and venting ensue.,Twitter appeared to embrace its moment in the spotlight.,[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/04/technology/twitter-facebook-down.html,Technology,By Jesus Jiménez and Vimal Patel,True
2021-10-05 04:32:18+00:00,Your Tuesday Briefing,A lengthy outage shakes Facebook and its apps.,"Facebook and its family of apps, including Messenger, Instagram and WhatsApp, were inaccessible for over five hours yesterday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny.",https://www.nytimes.com/2021/10/05/briefing/facebook-outage-new-zealand-covid.html,Briefing,By Natasha Frost,False
2021-10-05 05:32:20+00:00,Stephen Colbert Kicks Facebook While It’s Down,"“As the panic grew, Facebook did not say what might be causing the outage. Now, I’m no computer expert, but my theory is a just god?” Colbert joked.","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",https://www.nytimes.com/2021/10/05/arts/television/stephen-colbert-kicks-facebook-while-its-down.html,Arts,By Trish Bendix,True
2021-10-05 08:52:10+00:00,Facebook’s Apps Went Down. The World Saw How Much It Runs on Them.,"The outage disrupted the digital lives of small-business owners, politicians, aid workers and others. But for some, it was a welcome reprieve.","For more than five hours on Monday, the world got a taste of life without Facebook and its apps.",https://www.nytimes.com/2021/10/05/technology/facebook-down-ig-down-whatsapp-down.html,Technology,By Raymond Zhong and Adam Satariano,True
2021-10-05 11:03:07+00:00,What to watch: Whistle-blower to detail need to regulate Facebook.,"Frances Haugen, a former product manager for Facebook, will argue to protect consumers from a profits-over-safety culture.",A Facebook whistle-blower is taking her campaign to Washington.,https://www.nytimes.com/2021/10/05/technology/facebook-senate-hearing-time-live-stream.html,Technology,By Cecilia Kang,False
2021-10-05 11:30:05+00:00,"Who is Frances Haugen, the Facebook whistle-blower?",The former Facebook product manager handled democracy and misinformation issues and worked on counterespionage.,Just who is Frances Haugen?,https://www.nytimes.com/2021/10/05/technology/who-is-frances-haugen.html,Technology,By Ryan Mac,False
2021-10-05 11:59:56+00:00,"Weekly News Quiz for Students: R. Kelly Verdict, Instagram App, U.S. Wildlife Report",Have you been paying attention to the news recently? See how many of these 10 questions you can get right.,Have you been paying attention to the news recently? See how many of these 10 questions you can get right.,https://www.nytimes.com/interactive/2021/10/05/learning/05Student-News-Quiz.html,The Learning Network,Compiled by John Otis and Jeremy Engle,False
2021-10-05 12:18:41+00:00,Going Down,Prolonged outages of Facebook apps marked another bad day for the social media giant.,[Watch the Facebook hearing live.],https://www.nytimes.com/2021/10/05/business/dealbook/facebook-down.html,Business Day,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Lauren Hirsch, Ephrat Livni and Anna Schaverien",True
2021-10-05 13:23:42+00:00,"Frances Haugen: ‘Facebook’s products harm children, stoke division, weaken our democracy.’",Ms. Haugen is testifying before a Senate subcommittee.,"Frances Haugen, a former Facebook product manager, will appear before a Senate hearing on Tuesday to push for more regulation of Facebook. Below is an excerpt from the opening statement of her written testimony.",https://www.nytimes.com/2021/10/05/technology/haugen-facebook.html,Technology,,False
2021-10-05 14:17:11+00:00,Where are Mark Zuckerberg and Sheryl Sandberg?,Mr. Zuckerberg and Ms. Sandberg are deliberately avoiding public comment on the leaked documents.,"Hours before “60 Minutes” broadcast an interview on Sunday with a whistle-blower who has roiled Facebook, Mark Zuckerberg, the company’s chief executive, posted a video online.",https://www.nytimes.com/2021/10/05/technology/mark-zuckerberg-sheryl-sandberg-facebook-whistleblower.html,Technology,By Ryan Mac,False
2021-10-05 14:35:54+00:00,Teenage girls say Instagram’s mental health impacts are no surprise.,"Among young people, the idea that Instagram can hurt someone’s self-image is widely discussed.","Annie Zhu got an Instagram account during her freshman year of high school. At first, she curated her profile carefully, showing off different outfits and looks. She followed body positivity and body neutrality accounts. But she still sometimes compared herself with others, and “it can make me feel bad,” she said.",https://www.nytimes.com/2021/10/05/technology/teenage-girls-instagram.html,Technology,By Erin Woo,False
2021-10-05 15:11:43+00:00,"No, there isn’t proof that the private data of 1.5 billion Facebook users is being sold by hackers.",The problem is that the breach that Ms. Blackburn referenced is largely unverified.,"In her opening remarks at a Senate subcommittee hearing with a Facebook whistle-blower on Tuesday, Senator Marsha Blackburn from Tennessee made a stunning allegation.",https://www.nytimes.com/2021/10/05/technology/fb-hackers-data-sale.html,Technology,By Ryan Mac,False
2021-10-05 16:31:41+00:00,Facebook’s outage frustrates advertisers heading into the holiday season.,"“There may be heads on pikes by the end of this,” one agency executive said.","For more than five hours on Monday, while Facebook and Instagram were dark, David Herrmann fretted about ads.",https://www.nytimes.com/2021/10/05/business/media/facebook-outage-advertisers.html,Business Day,By Tiffany Hsu,True
