DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
20190701,1,,,"1#Germany#GM#GM#51.5#10.5#GM;1#Italy#IT#IT#42.833333#12.833333#IT;1#South Africa#SF#SF#-30#26#SF;4#Johannesburg, Gauteng, South Africa#SF#SF06#-26.2#28.0833#-1240261;1#Nigeria#NI#NI#10#8#NI;1#Egypt#EG#EG#27#30#EG;1#Morocco#MO#MO#32#-5#MO",,wordpress,"1.92307692307692,3.2967032967033,1.37362637362637,4.67032967032967,21.2912087912088,1.23626373626374",,namehero.com,https://www.namehero.com/startup/you-probably-dont-need-a-cdn-other-than-cloudflare/
20190701,1,,EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_GUIDE;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;TAX_ECON_PRICE;,"1#Lithuania#LH#LH#56#24#LH;1#United Kingdom#UK#UK#54#-4#UK;2#Utah, United States#US#USUT#40.1135#-111.854#UT",bluehost bluehost;hostinger hostinger;godaddy godaddy;cloudflare ddo,google;microsoft office;wordpress;endurance international group,"3.99673735725938,5.573681348559,1.57694399129962,7.15062533985862,23.436650353453,3.07232191408374",,techradar.com,https://www.techradar.com/best/best-website-hosting-service
20190702,1,AFFECT#2000#popular websites#1#United States#US#US#39.828175#-98.5795#US;,AFFECT;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;SHORTAGE;TAX_FNCACT;TAX_FNCACT_PRINCE;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TRAFFIC;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ECON_BITCOIN;TAX_ECON_PRICE;TAX_FNCACT_SPOKESPERSON;,1#United States#US#US#39.828175#-98.5795#US,,,"-1.43540669856459,3.82775119617225,5.26315789473684,9.09090909090909,17.7033492822967,0.956937799043062",,sky.com,https://news.sky.com/story/cloudflare-down-thousands-of-popular-websites-affected-by-brief-outage-11755312
20190702,1,,TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;MEDIA_SOCIAL;,"3#Miami, Florida, United States#US#USFL#25.7743#-80.1937#295004;1#Serbia#RI#RI#44#21#RI;2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#Australia#AS#AS#-25#135#AS;1#Brazil#BR#BR#-10#-55#BR;4#Riyadh, Ar Riya?, Saudi Arabia#SA#SA10#24.6408#46.7728#-3093009;4#Belgrade, Serbia (General), #RB#RB00#44.8186#20.4681#-74897;3#Denver, Colorado, United States#US#USCO#39.7392#-104.985#201738;1#Pakistan#PK#PK#30#70#PK;1#India#IN#IN#20#77#IN;4#Mumbai, Maharashtra, India#IN#IN16#18.975#72.8258#-2092174;4#Rio De Janeiro, Estado Do Rio, Brazil#BR#BR21#-22.9#-43.2333#-666610;1#Iraq#IZ#IZ#33#44#IZ;4#Baghdad, Baghdad, Iraq#IZ#IZ07#33.3386#44.3939#-3103581;1#Saudi Arabia#SA#SA#25#45#SA;4#Perth, Western Australia, Australia#AS#AS08#-31.9333#115.833#-1594675;3#Houston, Texas, United States#US#USTX#29.7633#-95.3633#1380948;3#Dallas, Texas, United States#US#USTX#32.7831#-96.8067#1380944;4#Chennai, Tamil Nadu, India#IN#IN25#13.0833#80.2833#-2103041;4#Karachi, Sindh, Pakistan#PK#PK05#24.8667#67.05#-2764584",los angeles,twitter,"-1.27226463104326,1.78117048346056,3.05343511450382,4.83460559796438,22.64631043257,0.508905852417303",856516283,crn.com,https://www.crn.com/news/security/-major-cloudflare-outage-briefly-knocks-much-of-internet-offline
20190702,1,,,"2#New York, United States#US#USNY#42.1497#-74.9384#NY",,gerrit de vynck bloomberg cloudflare inc;cloudflare inc,"-2.29885057471264,1.14942528735632,3.44827586206897,4.59770114942529,21.8390804597701,0",,datacenterknowledge.com,https://www.datacenterknowledge.com:443/uptime/net-defender-cloudflare-goes-down-taking-many-websites-it
20190702,1,,CRISISLEX_CRISISLEXREC;CYBER_ATTACK;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;AFFECT;TAX_ECON_PRICE;TAX_FNCACT_TECHNICIANS;EPU_ECONOMY_HISTORIC;TRAFFIC;SOC_EXPRESSREGRET;USPEC_POLICY1;EXTREMISM;TRANSPARENCY;UNGP_FORESTS_RIVERS_OCEANS;,"1#United States#US#US#39.828175#-98.5795#US;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889",,,"-5.71428571428571,1.2987012987013,7.01298701298701,8.31168831168831,25.4545454545455,2.33766233766234",856415869,techspot.com,https://www.techspot.com/news/80775-bug-firewall-systems-took-cloudflare-customers-offline.html
20190702,1,,SHORTAGE;CRISISLEX_T01_CAUTION_ADVICE;AFFECT;EPU_ECONOMY_HISTORIC;MEDIA_SOCIAL;CRISISLEX_CRISISLEXREC;CYBER_ATTACK;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;UNGP_FORESTS_RIVERS_OCEANS;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EXTREMISM;TRANSPARENCY;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;ECON_ELECTRICALGRID;TAX_FNCACT_COLUMNISTS;,1#China#CH#CH#35#105#CH,,,"-1.83908045977012,2.18390804597701,4.02298850574713,6.20689655172414,23.9080459770115,3.2183908045977","856350871,856549872,856362882,856362329,856350871",inc.com,https://www.inc.com/jason-aten/cloudflare-outage-takes-down-internet-for-second-time-in-a-week-heres-how-companys-ceo-responded.html
20190702,1,,WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;CRISISLEX_CRISISLEXREC;SHORTAGE;AFFECT;EPU_ECONOMY_HISTORIC;MEDIA_SOCIAL;ECON_BITCOIN;WB_698_TRADE;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;,1#United States#US#US#39.828175#-98.5795#US,,soundcloud,"-5.66037735849057,1.57232704402516,7.23270440251572,8.80503144654088,25.1572327044025,0.943396226415094",,techcentral.co.za,https://techcentral.co.za/cloudflare-outage-leads-to-internet-disruption/90731/
20190702,1,"PROTEST#26##4#Seoul, Soul-t'ukpyolsi, South Korea#KS#KS11#37.5664#127#-716583;STRIKE#26##4#Seoul, Soul-t'ukpyolsi, South Korea#KS#KS11#37.5664#127#-716583;PROTEST#26##4#Seoul, Soul-t'ukpyolsi, South Korea#KS#KS11#37.5664#127#-716583;STRIKE#26##4#Seoul, Soul-t'ukpyolsi, South Korea#KS#KS11#37.5664#127#-716583;",ECON_BITCOIN;AFFECT;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;DELAY;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2120_SATELLITES;WB_2329_ACCESS_AND_CONNECTIVITY;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_CRISISLEXREC;MANMADE_DISASTER_IMPLIED;TAX_FNCACT;TAX_FNCACT_WOMAN;KILL;CRISISLEX_T03_DEAD;TAX_ETHNICITY;TAX_ETHNICITY_INDIAN;TAX_FNCACT_ENGINEERS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_BEARS;PROTEST;STRIKE;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_SAXOPHONIST;TAX_FNCACT_PROFESSOR;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_166_RAILWAYS;CRISISLEX_C04_LOGISTICS_TRANSPORT;TAX_WORLDMAMMALS_PANDA;TAX_WORLDMAMMALS_GIANT_PANDA;TAX_FNCACT_MAN;EPU_ECONOMY_HISTORIC;TAX_WORLDMAMMALS_HUMANS;DRONES;CRISISLEX_C07_SAFETY;TAX_WORLDMAMMALS_JAGUAR;TAX_FNCACT_CEO;TAX_FNCACT_PRINCE;MEDIA_SOCIAL;,"4#Chengdu, Sichuan, China#CH#CH32#30.6667#104.067#-1900349;1#Japan#JA#JA#36#138#JA;4#Tokyo, Tokyo, Japan#JA#JA40#35.685#139.751#-246227;4#Waseda, Niigata, Japan#JA#JA29#38.3#139.55#-247897;4#Tel Aviv, Tel Aviv, Israel#IS#IS05#32.0667#34.7667#-781545;1#China#CH#CH#35#105#CH;4#Beijing, Beijing, China#CH#CH22#39.9289#116.388#-1898541;2#California, United States#US#USCA#36.17#-119.746#CA;4#Bangalore, Karnataka, India#IN#IN19#12.9833#77.5833#-2090174;4#South Kensington, Kensington And Chelsea, United Kingdom#UK#UKG4#51.4833#-0.166667#-2608257;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889;4#Guangzhou, Guangdong, China#CH#CH30#23.1167#113.25#-1907161;2#Arizona, United States#US#USAZ#33.7712#-111.388#AZ;4#Seoul, Soul-T'ukpyolsi, South Korea#KS#KS11#37.5664#127#-716583;1#India#IN#IN#20#77#IN;3#Tempe, Arizona, United States#US#USAZ#33.4148#-111.909#12233;1#Israel#IS#IS#31.5#34.75#IS;1#South Korea#KS#KS#37#127.5#KS;3#Los Angeles, California, United States#US#USCA#34.0522#-118.244#1662328;4#Sichuan, Gansu, China#CH#CH15#35.1221#105.48#10650455",kazuya kanemaru;wolfgang ziebart;los angeles;atsuo takanishi;shen haiyin,international automobile exhibition;hankook mirae technology in gunpo;design museum;toyota;twitter;art corp;samsung;elbit systems;waseda university,"-0.878638110928061,1.31795716639209,2.19659527732015,3.51455244371225,19.2202086765513,0.219659527732015",,independent.co.uk,https://www.independent.co.uk/life-style/gadgets-and-tech/news/discord-down-internet-not-working-cloudflare-cryptocurrency-a8984581.html
20190702,1,,CRISISLEX_C07_SAFETY;SECURITY_SERVICES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1934_CIVILLIAN_POLICE_AND_SECURITY_SERVICES;WB_1014_CRIMINAL_JUSTICE;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ECON_BITCOIN;WB_698_TRADE;CYBER_ATTACK;TAX_ETHNICITY;TAX_ETHNICITY_ASIAN;CRISISLEX_CRISISLEXREC;,1#Hong Kong#HK#HK#22.25#114.166667#HK,,cloud service providers;cloudflare network;delivery network,"-1.73410404624277,1.44508670520231,3.17919075144509,4.6242774566474,22.2543352601156,1.44508670520231",,coinspeaker.com,https://www.coinspeaker.com/bitfinexs-cloudflare-a-server-outage/
